"ID programa","Sesión","Título","Fecha","Bloque","Link de la grabación"
"powerh_1","1","People Analytics & Power BI","10/03","Bloque 1: Los datos pueden transformar HR",""
"powerh_1","2","Descubriendo el poder de ETL","17/03","Bloque 1: Los datos pueden transformar HR","https://us02web.zoom.us/rec/share/T9Go6wWpU7RDNWHV9DNYOtZEAB5MFaS38kju_jVHE3lex_t1Omc-q4FwyNIJOrTi.924Cg7OFZ5rW9Y9R?startTime=1712844261000"
"powerh_1","3","Primeras visualizaciones","24/03","Bloque 2: De la transformación de datos a la visualización","https://us02web.zoom.us/rec/share/zqYdjl_R2bia_9KM_NPieWaQ9Et25HTh6CuDutssSxePxlv3sLI_QwC17AWlz1G_.zAA6h8Kno4IFbsXF"
"powerh_1","4","Visualizaciones con impacto","31/03","Bloque 2: De la transformación de datos a la visualización","https://us02web.zoom.us/rec/share/mY4jdFIfQMFzqM_mLphozV6LjbwUz3JA20_328BaQ1bxynfjiUsCeY6Y_Yn74nS_.2awmvNE0gp4NF8xY"
"powerh_1","5","Columnas y medidas DAX","07/04","Bloque 3: Desbloquear el potencial de los datos con DAX",""
"powerh_1","6","Modelado y cierre","21/04","Bloque 4: De tu análisis a las decisiones",""
