"Nº","Fecha","Hora","Título","Bloque","Facilitador","Grabación"
"1","2026-08-05","19:00","People Analytics & Power BI","Bloque 1: Los datos pueden transformar HR","Pablo Senra",""
"2","2026-08-12","19:00","Descubriendo el poder de ETL","Bloque 1: Los datos pueden transformar HR","Pablo Senra","https://us02web.zoom.us/rec/share/T9Go6wWpU7RDNWHV9DNYOtZEAB5MFaS38kju_jVHE3lex_t1Omc-q4FwyNIJOrTi.924Cg7OFZ5rW9Y9R?startTime=1712844261000"
"3","2026-08-19","19:00","Primeras visualizaciones","Bloque 2: De la transformación de datos a la visualización","Pablo Senra","https://us02web.zoom.us/rec/share/zqYdjl_R2bia_9KM_NPieWaQ9Et25HTh6CuDutssSxePxlv3sLI_QwC17AWlz1G_.zAA6h8Kno4IFbsXF"
"4","2026-08-26","19:00","Visualizaciones con impacto","Bloque 2: De la transformación de datos a la visualización","Pablo Senra","https://us02web.zoom.us/rec/share/mY4jdFIfQMFzqM_mLphozV6LjbwUz3JA20_328BaQ1bxynfjiUsCeY6Y_Yn74nS_.2awmvNE0gp4NF8xY"
"5","2026-09-02","19:00","Columnas y medidas DAX","Bloque 3: Desbloquear el potencial de los datos con DAX","Pablo Senra",""
"6","2026-09-09","19:00","Evolución temporal con DAX","Bloque 3: Desbloquear el potencial de los datos con DAX","Pablo Senra",""
"7","2026-09-16","19:00","Modelado dimensional","Bloque 4: De tu análisis a las decisiones","Pablo Senra",""
"8","2026-09-23","19:00","Compartir el informe y cierre","Bloque 4: De tu análisis a las decisiones","Pablo Senra",""
