"ID","Actividad","Inicio","Sesiones","Duración","Cliente","Fin","Firma","Apertura","ReqAsist","Logo","COMENTARIOS","FACILITADOR","Inscriptos"
"powerh_1","Power BI para Recursos Humanos","10/03","6","12","Chacomer","21/04","https://i.ibb.co/LdQb93yh/Firma-con-Charlie-1.png","21/04/2026","50%","https://i.ibb.co/95ZDmJ4/Logo-HACHE-blanco-estrecho-2-1.png","","Pablo","10"
"Pope17","Power People","19/8","15","54","General","2/12","https://i.ibb.co/KxcfR5Mq/Firma.png","","50%","https://i.ibb.co/95ZDmJ4/Logo-HACHE-blanco-estrecho-2-1.png","modelo híbrido","Pablo","11"
"pbi_pampa14","Power BI Nivel 2","31/08","8","16","Pampa","02/10","https://i.ibb.co/LdQb93yh/Firma-con-Charlie-1.png","","75%","https://i.ibb.co/95ZDmJ4/Logo-HACHE-blanco-estrecho-2-1.png","Nivel 2: Open 31/08 → 5 clases + 2DL (2h c/u) + Demo day","Charlie","18"
